Geo,D4c,Year
530330099002,34.0,2018
530330099003,36.0,2018
530330099004,53.0,2018
530330100011,47.0,2018
530330100012,39.0,2018
530330100013,53.0,2018
530330100021,36.0,2018
530330100022,53.0,2018
530330100023,53.0,2018
530330101011,17.0,2018
530330101012,10.0,2018
530330101013,23.0,2018
530330101021,6.0,2018
530330101022,23.0,2018
530330101023,17.0,2018
530330102001,6.0,2018
530330102002,6.0,2018
530330102003,17.0,2018
530330102004,6.0,2018
530330103011,17.0,2018
530330103012,17.0,2018
530330103013,4.0,2018
530330103021,27.0,2018
530330103022,21.0,2018
530330103023,17.0,2018
530330104011,34.0,2018
530330104012,42.0,2018
530330104013,36.0,2018
530330104021,56.0,2018
530330104022,25.0,2018
530330104023,19.0,2018
530330104024,14.0,2018
530330105011,28.0,2018
530330105012,6.0,2018
530330105013,28.0,2018
530330105021,34.0,2018
530330105022,0.0,2018
530330105023,26.0,2018
530330105024,34.0,2018
530330106011,31.0,2018
530330106012,31.0,2018
530330106013,6.0,2018
530330106021,25.0,2018
530330106022,0.0,2018
530330106023,25.0,2018
530330107011,17.0,2018
530330107012,17.0,2018
530330107013,17.0,2018
530330107021,6.0,2018
530330107022,8.0,2018
530330107023,10.0,2018
530330108001,17.0,2018
530330108002,23.0,2018
530330108003,23.0,2018
530330109001,22.0,2018
530330109002,32.0,2018
530330110011,47.0,2018
530330110012,53.0,2018
530330110013,28.0,2018
530330110021,59.0,2018
530330110022,19.0,2018
530330110023,25.0,2018
530330111011,38.0,2018
530330111012,10.0,2018
530330111013,23.0,2018
530330111014,21.0,2018
530330111021,6.0,2018
530330111022,17.0,2018
530330111023,17.0,2018
530330111024,23.0,2018
530330112001,16.0,2018
530330112002,18.0,2018
530330112003,13.0,2018
530330113001,18.0,2018
530330113002,17.0,2018
530330113003,5.0,2018
530330113004,15.0,2018
530330113005,5.0,2018
530330114011,15.0,2018
530330114012,29.0,2018
530330114013,23.0,2018
530330114021,49.0,2018
530330114022,29.0,2018
530330114023,38.0,2018
530330115001,2.0,2018
530330115002,17.0,2018
530330115003,6.0,2018
530330116011,21.0,2018
530330116012,25.0,2018
530330116021,2.0,2018
530330116022,2.0,2018
530330116023,25.0,2018
530330117001,37.0,2018
530330117002,60.0,2018
